date,state,positive,negative,pending,hospitalized,death,total,hash,datechecked,totaltestresults,fips,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease
2020-03-27,AK,69.0,2319.0,13.0,3.0,1.0,2401,588f633d59494e4d58466fccfa9628c98568396b,2020-03-27 20:00:00,2388,2,0,0,518,10,528
2020-03-27,AL,587.0,4184.0,0.0,0.0,3.0,4771,c3883f10c8760fdd9d196c5e2483205434bc4e0f,2020-03-27 20:00:00,4771,1,2,0,591,81,672
2020-03-27,AR,381.0,1545.0,0.0,48.0,3.0,1926,a67d588363970b93865400184a7b96de73096b8d,2020-03-27 20:00:00,1926,5,0,7,41,46,87
2020-03-27,AS,0.0,0.0,0.0,0.0,0.0,0,84bac05a7009ace4086a2e5280d56a5ccea95c40,2020-03-27 20:00:00,0,60,0,0,0,0,0
2020-03-27,AZ,736.0,7455.0,30.0,0.0,13.0,8221,81fb87573f6b5484fc4879e20ef93989c969d113,2020-03-27 20:00:00,8191,4,5,0,7108,159,7267
2020-03-27,CA,3879.0,17380.0,57400.0,746.0,78.0,78659,d7b5a1250b2f63a88e58953c8547feab1986f158,2020-03-27 20:00:00,21259,6,13,746,0,873,873
2020-03-27,CO,1430.0,8692.0,0.0,184.0,24.0,10122,47ea1cad10813f21f89b795589930e0be43ca6a1,2020-03-27 20:00:00,10122,8,5,36,1714,344,2058
2020-03-27,CT,1291.0,7109.0,0.0,173.0,27.0,8400,890423bc4025abb5384d27c05582d7b59db0de3c,2020-03-27 20:00:00,8400,9,6,48,1484,279,1763
2020-03-27,DC,267.0,1897.0,2.0,0.0,3.0,2166,240b1b4a63a74f4ec3b4d336b27c067924f2a10d,2020-03-27 20:00:00,2164,11,0,0,271,36,307
2020-03-27,DE,163.0,36.0,0.0,15.0,2.0,199,86c4ed17fc96d0ee24845dfe40520b0309719dc5,2020-03-27 20:00:00,199,10,1,2,0,33,33
2020-03-27,FL,2765.0,28186.0,1517.0,456.0,34.0,32468,0e1d5593efe6879f19d20c35803507c8804a441b,2020-03-27 20:00:00,30951,12,6,50,4445,410,4855
2020-03-27,GA,2001.0,7864.0,0.0,566.0,64.0,9865,dd6b7dd6696009bd61b1496b5991085af9c671c5,2020-03-27 20:00:00,9865,13,16,93,463,476,939
2020-03-27,GU,51.0,299.0,0.0,11.0,1.0,350,d443e3eea9672e157b46032e03fef23dd2e3ab36,2020-03-27 20:00:00,350,66,0,0,36,6,42
2020-03-27,HI,106.0,4357.0,3.0,7.0,0.0,4466,4d1d87d0e614c84477d5422f8efadfa6471cc63d,2020-03-27 20:00:00,4463,15,0,2,0,11,11
2020-03-27,IA,235.0,3740.0,0.0,50.0,3.0,3975,9746ef952e68dee4325828c80d479d87c6445adb,2020-03-27 20:00:00,3975,19,2,4,1162,56,1218
2020-03-27,ID,189.0,2668.0,0.0,0.0,3.0,2857,64dd214b7617daca44b6cef40a73a6141577ce0a,2020-03-27 20:00:00,2857,16,3,0,603,66,669
