State_Name,State,Lat,Long,AllDeaths,AllDeathsPer100k,CancerDeaths,CancerDeathsPer100k,HeartDiseaseDeaths,HeartDiseaseDeathsPer100k,AccidentsDeaths,AccidentsDeathsPer100k,MotorVehicleDeaths,MotorVehicleDeathsPer100k,PoisoningDeaths,PoisoninDeathsPer100k,SuicideDeaths,SuicideDeathsPer100k,HomicideDeaths,HomicideDeathsPer100k,state,Covid19Positive,Covid19Negative,Covid19Pending,Covid19Hospitalized,Covid19Death,data_value,confirm_change,Pop,CovidByPop,RiskValue
Alabama,AL,32.3182,-86.9023,53238,9177,10410,170,13110,2232,2703,538,1034,209,787,17,836,166,602,129,AL,587,4184,0,0,3,22.9,18.2282793867121,4908621,11,4.159858067401552
Alaska,AK,61.3707,-152.4044,4411,7088,926,1392,814,135,436,637,101,142,154,211,200,27,78,106,AK,69,2319,13,3,1,15.6,46.551724137931004,734002,9,5.6889349827008795
Arizona,AZ,33.7298,-111.4312,57758,6785,12008,1358,12398,1419,4184,562,1017,142,1405,207,1327,182,441,66,AZ,736,7455,30,0,13,19.4,16.2406015037594,7378494,9,2.6189830032984847
Arkansas,AR,34.9697,-92.3731,32588,9001,6517,1736,8270,2238,1625,518,579,189,376,131,631,208,278,98,AR,381,1545,0,48,3,24.7,7.3490813648294,3038999,12,1.8964577919681238
California,CA,36.1162,-119.6816,268189,6187,59516,1367,62797,1429,13840,331,4194,103,4652,112,4312,105,2022,51,CA,3879,17380,57400,746,78,18.1,9.40519647841958,39937489,9,1.377857248006985
Colorado,CO,39.0598,-105.3111,38063,6634,7829,1309,7060,1227,3037,536,678,118,896,156,1181,203,261,46,CO,1430,8692,0,184,24,14.0,21.423586880669898,5845526,24,6.114365775224383
Connecticut,CT,41.5978,-72.7554,31312,6512,6608,1395,7138,1416,2078,532,293,78,1048,301,405,105,109,32,CT,1291,7109,0,173,27,13.8,18.0480247869868,3563077,36,7.520185502586657
Delaware,DE,39.3185,-75.5071,9178,7496,2085,1604,1990,1584,608,619,127,129,333,364,112,116,63,69,DE,163,36,0,15,2,17.2,31.2883435582822,982895,16,7.437213537559959
District of Columbia,DC,38.8974,-77.0268,4965,7254,1031,1528,1284,1898,427,61,33,47,291,413,47,66,117,156,DC,267,1897,2,0,3,13.5,12.1771217712177,720687,37,5.075300306554047
Florida,FL,27.7663,-81.6868,203636,6721,45131,1459,46440,1458,13059,561,3229,148,4809,239,3227,14,1269,64,FL,2765,28186,1517,456,34,20.8,29.7586206896552,21992985,12,6.484938239410772
Georgia,GA,33.0406,-83.6431,83098,7937,17135,1549,18389,1758,4712,452,1556,146,1466,141,1451,136,810,79,GA,2001,7864,0,566,64,19.1,18.3,10736059,18,5.428819597582317
Hawaii,HI,21.0943,-157.4983,11390,5849,2456,1286,2575,1298,585,357,106,72,166,114,227,152,35,25,HI,106,4357,3,7,0,16.3,40.5660377358491,1412687,7,4.134555873546893
Idaho,ID,44.2405,-114.4788,14011,7418,3020,1532,3084,1624,876,498,271,155,199,121,392,232,50,3,ID,189,2668,0,0,3,15.9,14.1463414634146,1826156,10,1.9399205549666083
Illinois,IL,40.3495,-88.9861,109721,7242,24150,1579,25394,1633,6019,444,1232,93,2629,205,1474,112,1120,9,IL,3060,18516,0,0,34,16.8,15.4431216931217,12659682,24,5.225907991475092
Indiana,IN,39.8494,-86.2583,65597,8486,13462,170,14445,1832,3978,587,917,135,1761,28,1092,163,456,72,IN,981,5955,0,0,24,19.3,25.9448416751788,6745354,14,6.068639625741693
Iowa,IA,42.0115,-93.2105,30530,737,6449,158,7180,1674,1536,427,396,12,307,104,479,15,104,34,IA,235,3740,0,50,3,14.3,26.808510638297896,3179849,7,2.360961165137089
Kansas,KS,38.5266,-96.7265,27063,7712,5494,1572,5723,1579,1567,494,461,156,298,107,553,191,185,65,KS,202,3229,0,27,4,17.0,29.126213592233,2910357,6,2.863893143112917
Kentucky,KY,37.6681,-84.6701,48212,9299,10145,1857,10343,1959,3264,729,831,183,1508,359,770,169,310,73,KY,248,3768,0,0,6,23.5,30.5647840531561,4499692,5,3.2989584150388094
