"","State_Name","Province_State","total_confirmed28","total_deaths28","total_confirmed27","total_deaths27","confirm_change","deaths_change","State","Lat","Long","AllDeaths","AllDeathsPer100k","CancerDeaths","CancerDeathsPer100k","HeartDiseaseDeaths","HeartDiseaseDeathsPer100k","AccidentsDeaths","AccidentsDeathsPer100k","MotorVehicleDeaths","MotorVehicleDeathsPer100k","PoisoningDeaths","PoisoninDeathsPer100k","SuicideDeaths","SuicideDeathsPer100k","HomicideDeaths","HomicideDeathsPer100k","Covid19Positive","Covid19Negative","Covid19Pending","Covid19Hospitalized","Covid19Death","Pop","data_value","NAME"
"1","Alabama","Alabama",694,4,587,4,18.2282793867121,0,"AL",32.3182,-86.9023,53238,9177,10410,170,13110,2232,2703,538,1034,209,787,17,836,166,602,129,587,4184,0,0,3,4908621,22.9,"Alabama"
"2","Alaska","Alaska",85,2,58,1,46.551724137931,100,"AK",61.3707,-152.4044,4411,7088,926,1392,814,135,436,637,101,142,154,211,200,27,78,106,69,2319,13,3,1,734002,15.6,"Alaska"
"3","Arizona","Arizona",773,15,665,13,16.2406015037594,15.3846153846154,"AZ",33.7298,-111.4312,57758,6785,12008,1358,12398,1419,4184,562,1017,142,1405,207,1327,182,441,66,736,7455,30,0,13,7378494,19.4,"Arizona"
"4","Arkansas","Arkansas",409,5,381,3,7.3490813648294,66.6666666666667,"AR",34.9697,-92.3731,32588,9001,6517,1736,8270,2238,1625,518,579,189,376,131,631,208,278,98,381,1545,0,48,3,3038999,24.7,"Arkansas"
"5","California","California",5095,110,4657,94,9.40519647841958,17.0212765957447,"CA",36.1162,-119.6816,268189,6187,59516,1367,62797,1429,13840,331,4194,103,4652,112,4312,105,2022,51,3879,17380,57400,746,78,39937489,18.1,"California"
"6","Colorado","Colorado",1740,31,1433,27,21.4235868806699,14.8148148148148,"CO",39.0598,-105.3111,38063,6634,7829,1309,7060,1227,3037,536,678,118,896,156,1181,203,261,46,1430,8692,0,184,24,5845526,14,"Colorado"
"7","Connecticut","Connecticut",1524,33,1291,27,18.0480247869868,22.2222222222222,"CT",41.5978,-72.7554,31312,6512,6608,1395,7138,1416,2078,532,293,78,1048,301,405,105,109,32,1291,7109,0,173,27,3563077,13.8,"Connecticut"
"8","Delaware","Delaware",214,5,163,2,31.2883435582822,150,"DE",39.3185,-75.5071,9178,7496,2085,1604,1990,1584,608,619,127,129,333,364,112,116,63,69,163,36,0,15,2,982895,17.2,"Delaware"
"9","District of Columbia","District of Columbia",304,4,271,3,12.1771217712177,33.3333333333333,"DC",38.8974,-77.0268,4965,7254,1031,1528,1284,1898,427,61,33,47,291,413,47,66,117,156,267,1897,2,0,3,720687,13.5,"District of Columbia"
"10","Florida","Florida",3763,54,2900,35,29.7586206896552,54.2857142857143,"FL",27.7663,-81.6868,203636,6721,45131,1459,46440,1458,13059,561,3229,148,4809,239,3227,14,1269,64,2765,28186,1517,456,34,21992985,20.8,"Florida"
"11","Georgia","Georgia",2366,69,2000,64,18.3,7.8125,"GA",33.0406,-83.6431,83098,7937,17135,1549,18389,1758,4712,452,1556,146,1466,141,1451,136,810,79,2001,7864,0,566,64,10736059,19.1,"Georgia"
"12","Hawaii","Hawaii",149,0,106,0,40.5660377358491,NA,"HI",21.0943,-157.4983,11390,5849,2456,1286,2575,1298,585,357,106,72,166,114,227,152,35,25,106,4357,3,7,0,1412687,16.3,"Hawaii"
"13","Idaho","Idaho",234,4,205,3,14.1463414634146,33.3333333333333,"ID",44.2405,-114.4788,14011,7418,3020,1532,3084,1624,876,498,271,155,199,121,392,232,50,3,189,2668,0,0,3,1826156,15.9,"Idaho"
"14","Illinois","Illinois",3491,47,3024,34,15.4431216931217,38.2352941176471,"IL",40.3495,-88.9861,109721,7242,24150,1579,25394,1633,6019,444,1232,93,2629,205,1474,112,1120,9,3060,18516,0,0,34,12659682,16.8,"Illinois"
"15","Indiana","Indiana",1233,31,979,25,25.9448416751788,24,"IN",39.8494,-86.2583,65597,8486,13462,170,14445,1832,3978,587,917,135,1761,28,1092,163,456,72,981,5955,0,0,24,6745354,19.3,"Indiana"
"16","Iowa","Iowa",298,3,235,3,26.8085106382979,0,"IA",42.0115,-93.2105,30530,737,6449,158,7180,1674,1536,427,396,12,307,104,479,15,104,34,235,3740,0,50,3,3179849,14.3,"Iowa"
"17","Kansas","Kansas",266,4,206,4,29.126213592233,0,"KS",38.5266,-96.7265,27063,7712,5494,1572,5723,1579,1567,494,461,156,298,107,553,191,185,65,202,3229,0,27,4,2910357,17,"Kansas"
"18","Kentucky","Kentucky",393,9,301,7,30.5647840531561,28.5714285714286,"KY",37.6681,-84.6701,48212,9299,10145,1857,10343,1959,3264,729,831,183,1508,359,770,169,310,73,248,3768,0,0,6,4499692,23.5,"Kentucky"
"19","Louisiana","Louisiana",3315,137,2744,119,20.8090379008746,15.1260504201681,"LA",31.1695,-91.8678,45804,8811,9513,1749,11260,2144,2780,588,825,176,1024,226,720,152,653,144,2746,18613,0,773,119,4645184,22.2,"Louisiana"
